# energy_center_GeV,theta_center_rad,density_per_GeV_rad,count
0.00058333333333333327,0.0018333333333333333,55620,309
0.00058333333333333327,0.0021666666666666666,58140,323
0.00058333333333333327,0.0025000000000000001,61920,344
0.00058333333333333327,0.0028333333333333331,50040,278
0.00058333333333333327,0.0031666666666666666,37980,211
0.00058333333333333327,0.0035000000000000001,28440,158
0.00058333333333333327,0.0038333333333333331,14400,80
0.00058333333333333327,0.0041666666666666666,7920,44
0.00058333333333333327,0.0044999999999999997,3600,20
0.00058333333333333327,0.0048333333333333336,1440,8
0.00058333333333333327,0.0051666666666666666,540,3
0.00058333333333333327,0.0054999999999999997,540,3
0.00058333333333333327,0.0058333333333333327,0,0
0.00058333333333333327,0.0061666666666666667,0,0
0.00058333333333333327,0.0064999999999999997,0,0
0.00058333333333333327,0.0068333333333333328,0,0
0.00058333333333333327,0.0071666666666666667,0,0
0.00058333333333333327,0.0074999999999999997,0,0
0.00058333333333333327,0.0078333333333333328,0,0
0.00058333333333333327,0.0081666666666666658,0,0
0.00058333333333333327,0.0084999999999999989,0,0
0.00058333333333333327,0.0088333333333333337,0,0
0.00058333333333333327,0.0091666666666666667,0,0
0.00058333333333333327,0.0094999999999999998,0,0
0.00058333333333333327,0.0098333333333333328,0,0
0.00058333333333333327,0.010166666666666666,0,0
0.00058333333333333327,0.010499999999999999,0,0
0.00058333333333333327,0.010833333333333334,0,0
0.00058333333333333327,0.011166666666666667,0,0
0.00058333333333333327,0.0115,0,0
0.00058333333333333327,0.011833333333333333,0,0
0.00058333333333333327,0.012166666666666666,0,0
0.00058333333333333327,0.012499999999999999,0,0
0.00058333333333333327,0.012833333333333334,0,0
0.00058333333333333327,0.013166666666666667,0,0
0.00058333333333333327,0.0135,0,0
0.00058333333333333327,0.013833333333333333,0,0
0.00058333333333333327,0.014166666666666666,0,0
0.00058333333333333327,0.014499999999999999,0,0
0.00058333333333333327,0.014833333333333332,0,0
0.00058333333333333327,0.015166666666666667,0,0
0.00058333333333333327,0.0155,0,0
0.00058333333333333327,0.015833333333333331,0,0
0.00058333333333333327,0.016166666666666666,0,0
0.00058333333333333327,0.016500000000000001,0,0
0.00058333333333333327,0.016833333333333332,0,0
0.00058333333333333327,0.017166666666666667,0,0
0.00058333333333333327,0.017499999999999998,0,0
0.00058333333333333327,0.017833333333333333,0,0
0.00058333333333333327,0.018166666666666668,0,0
0.00058333333333333327,0.018499999999999999,0,0
0.00058333333333333327,0.018833333333333334,0,0
0.00058333333333333327,0.019166666666666665,0,0
0.00058333333333333327,0.0195,0,0
0.00058333333333333327,0.019833333333333331,0,0
0.00075000000000000002,0.00016666666666666666,5400,30
0.00075000000000000002,0.00050000000000000001,15660,87
0.00075000000000000002,0.00083333333333333328,27720,154
0.00075000000000000002,0.0011666666666666665,46260,257
0.00075000000000000002,0.0015,58860,327
0.00075000000000000002,0.0018333333333333333,59760,332
0.00075000000000000002,0.0021666666666666666,59760,332
0.00075000000000000002,0.0025000000000000001,47340,263
0.00075000000000000002,0.0028333333333333331,40680,226
0.00075000000000000002,0.0031666666666666666,24120,134
0.00075000000000000002,0.0035000000000000001,17280,96
0.00075000000000000002,0.0038333333333333331,10260,57
0.00075000000000000002,0.0041666666666666666,5220,29
0.00075000000000000002,0.0044999999999999997,1800,10
0.00075000000000000002,0.0048333333333333336,540,3
0.00075000000000000002,0.0051666666666666666,180,1
0.00075000000000000002,0.0054999999999999997,0,0
0.00075000000000000002,0.0058333333333333327,0,0
0.00075000000000000002,0.0061666666666666667,0,0
0.00075000000000000002,0.0064999999999999997,0,0
0.00075000000000000002,0.0068333333333333328,0,0
0.00075000000000000002,0.0071666666666666667,0,0
0.00075000000000000002,0.0074999999999999997,0,0
0.00075000000000000002,0.0078333333333333328,0,0
0.00075000000000000002,0.0081666666666666658,0,0
0.00075000000000000002,0.0084999999999999989,0,0
0.00075000000000000002,0.0088333333333333337,0,0
0.00075000000000000002,0.0091666666666666667,0,0
0.00075000000000000002,0.0094999999999999998,0,0
0.00075000000000000002,0.0098333333333333328,0,0
0.00075000000000000002,0.010166666666666666,0,0
0.00075000000000000002,0.010499999999999999,0,0
0.00075000000000000002,0.010833333333333334,0,0
0.00075000000000000002,0.011166666666666667,0,0
0.00075000000000000002,0.0115,0,0
0.00075000000000000002,0.011833333333333333,0,0
0.00075000000000000002,0.012166666666666666,0,0
0.00075000000000000002,0.012499999999999999,0,0
0.00075000000000000002,0.012833333333333334,0,0
0.00075000000000000002,0.013166666666666667,0,0
0.00075000000000000002,0.0135,0,0
0.00075000000000000002,0.013833333333333333,0,0
0.00075000000000000002,0.014166666666666666,0,0
0.00075000000000000002,0.014499999999999999,0,0
0.00075000000000000002,0.014833333333333332,0,0
0.00075000000000000002,0.015166666666666667,0,0
0.00075000000000000002,0.0155,0,0
0.00075000000000000002,0.015833333333333331,0,0
0.00075000000000000002,0.016166666666666666,0,0
0.00075000000000000002,0.016500000000000001,0,0
0.00075000000000000002,0.016833333333333332,0,0
0.00075000000000000002,0.017166666666666667,0,0
0.00075000000000000002,0.017499999999999998,0,0
0.00075000000000000002,0.017833333333333333,0,0
0.00075000000000000002,0.018166666666666668,0,0
0.00075000000000000002,0.018499999999999999,0,0
0.00075000000000000002,0.018833333333333334,0,0
0.00075000000000000002,0.019166666666666665,0,0
0.00075000000000000002,0.0195,0,0
0.00075000000000000002,0.019833333333333331,0,0
0.00091666666666666665,0.00016666666666666666,7020,39
0.00091666666666666665,0.00050000000000000001,23220,129
0.00091666666666666665,0.00083333333333333328,36180,201
0.00091666666666666665,0.0011666666666666665,53820,299
0.00091666666666666665,0.0015,59760,332
0.00091666666666666665,0.0018333333333333333,63540,353
0.00091666666666666665,0.0021666666666666666,53460,297
0.00091666666666666665,0.0025000000000000001,40320,224
0.00091666666666666665,0.0028333333333333331,28800,160
0.00091666666666666665,0.0031666666666666666,19080,106
0.00091666666666666665,0.0035000000000000001,10080,56
0.00091666666666666665,0.0038333333333333331,7200,40
0.00091666666666666665,0.0041666666666666666,2160,12
0.00091666666666666665,0.0044999999999999997,900,5
0.00091666666666666665,0.0048333333333333336,0,0
0.00091666666666666665,0.0051666666666666666,0,0
0.00091666666666666665,0.0054999999999999997,0,0
0.00091666666666666665,0.0058333333333333327,0,0
0.00091666666666666665,0.0061666666666666667,0,0
0.00091666666666666665,0.0064999999999999997,0,0
0.00091666666666666665,0.0068333333333333328,0,0
0.00091666666666666665,0.0071666666666666667,0,0
0.00091666666666666665,0.0074999999999999997,0,0
0.00091666666666666665,0.0078333333333333328,0,0
0.00091666666666666665,0.0081666666666666658,0,0
0.00091666666666666665,0.0084999999999999989,0,0
0.00091666666666666665,0.0088333333333333337,0,0
0.00091666666666666665,0.0091666666666666667,0,0
0.00091666666666666665,0.0094999999999999998,0,0
0.00091666666666666665,0.0098333333333333328,0,0
0.00091666666666666665,0.010166666666666666,0,0
0.00091666666666666665,0.010499999999999999,0,0
0.00091666666666666665,0.010833333333333334,0,0
0.00091666666666666665,0.011166666666666667,0,0
0.00091666666666666665,0.0115,0,0
0.00091666666666666665,0.011833333333333333,0,0
0.00091666666666666665,0.012166666666666666,0,0
0.00091666666666666665,0.012499999999999999,0,0
0.00091666666666666665,0.012833333333333334,0,0
0.00091666666666666665,0.013166666666666667,0,0
0.00091666666666666665,0.0135,0,0
0.00091666666666666665,0.013833333333333333,0,0
0.00091666666666666665,0.014166666666666666,0,0
0.00091666666666666665,0.014499999999999999,0,0
0.00091666666666666665,0.014833333333333332,0,0
0.00091666666666666665,0.015166666666666667,0,0
0.00091666666666666665,0.0155,0,0
0.00091666666666666665,0.015833333333333331,0,0
0.00091666666666666665,0.016166666666666666,0,0
0.00091666666666666665,0.016500000000000001,0,0
0.00091666666666666665,0.016833333333333332,0,0
0.00091666666666666665,0.017166666666666667,0,0
0.00091666666666666665,0.017499999999999998,0,0
0.00091666666666666665,0.017833333333333333,0,0
0.00091666666666666665,0.018166666666666668,0,0
0.00091666666666666665,0.018499999999999999,0,0
0.00091666666666666665,0.018833333333333334,0,0
0.00091666666666666665,0.019166666666666665,0,0
0.00091666666666666665,0.0195,0,0
0.00091666666666666665,0.019833333333333331,0,0
0.0010833333333333333,0.00016666666666666666,6480,36
0.0010833333333333333,0.00050000000000000001,26820,149
0.0010833333333333333,0.00083333333333333328,40320,224
0.0010833333333333333,0.0011666666666666665,48960,272
0.0010833333333333333,0.0015,56520,314
0.0010833333333333333,0.0018333333333333333,58140,323
0.0010833333333333333,0.0021666666666666666,52920,294
0.0010833333333333333,0.0025000000000000001,41220,229
0.0010833333333333333,0.0028333333333333331,30240,168
0.0010833333333333333,0.0031666666666666666,16740,93
0.0010833333333333333,0.0035000000000000001,7740,43
0.0010833333333333333,0.0038333333333333331,4680,26
0.0010833333333333333,0.0041666666666666666,2700,15
0.0010833333333333333,0.0044999999999999997,720,4
0.0010833333333333333,0.0048333333333333336,180,1
0.0010833333333333333,0.0051666666666666666,360,2
0.0010833333333333333,0.0054999999999999997,0,0
0.0010833333333333333,0.0058333333333333327,0,0
0.0010833333333333333,0.0061666666666666667,0,0
0.0010833333333333333,0.0064999999999999997,0,0
0.0010833333333333333,0.0068333333333333328,0,0
0.0010833333333333333,0.0071666666666666667,0,0
0.0010833333333333333,0.0074999999999999997,0,0
0.0010833333333333333,0.0078333333333333328,0,0
0.0010833333333333333,0.0081666666666666658,0,0
0.0010833333333333333,0.0084999999999999989,0,0
0.0010833333333333333,0.0088333333333333337,0,0
0.0010833333333333333,0.0091666666666666667,0,0
0.0010833333333333333,0.0094999999999999998,0,0
0.0010833333333333333,0.0098333333333333328,0,0
0.0010833333333333333,0.010166666666666666,0,0
0.0010833333333333333,0.010499999999999999,0,0
0.0010833333333333333,0.010833333333333334,0,0
0.0010833333333333333,0.011166666666666667,0,0
0.0010833333333333333,0.0115,0,0
0.0010833333333333333,0.011833333333333333,0,0
0.0010833333333333333,0.012166666666666666,0,0
0.0010833333333333333,0.012499999999999999,0,0
0.0010833333333333333,0.012833333333333334,0,0
0.0010833333333333333,0.013166666666666667,0,0
0.0010833333333333333,0.0135,0,0
0.0010833333333333333,0.013833333333333333,0,0
0.0010833333333333333,0.014166666666666666,0,0
0.0010833333333333333,0.014499999999999999,0,0
0.0010833333333333333,0.014833333333333332,0,0
0.0010833333333333333,0.015166666666666667,0,0
0.0010833333333333333,0.0155,0,0
0.0010833333333333333,0.015833333333333331,0,0
0.0010833333333333333,0.016166666666666666,0,0
0.0010833333333333333,0.016500000000000001,0,0
0.0010833333333333333,0.016833333333333332,0,0
0.0010833333333333333,0.017166666666666667,0,0
0.0010833333333333333,0.017499999999999998,0,0
0.0010833333333333333,0.017833333333333333,0,0
0.0010833333333333333,0.018166666666666668,0,0
0.0010833333333333333,0.018499999999999999,0,0
0.0010833333333333333,0.018833333333333334,0,0
0.0010833333333333333,0.019166666666666665,0,0
0.0010833333333333333,0.0195,0,0
0.0010833333333333333,0.019833333333333331,0,0
0.00125,0.00016666666666666666,9900,55
0.00125,0.00050000000000000001,27360,152
0.00125,0.00083333333333333328,41040,228
0.00125,0.0011666666666666665,48600,270
0.00125,0.0015,55080,306
0.00125,0.0018333333333333333,50400,280
0.00125,0.0021666666666666666,48240,268
0.00125,0.0025000000000000001,36360,202
0.00125,0.0028333333333333331,24480,136
0.00125,0.0031666666666666666,15480,86
0.00125,0.0035000000000000001,8640,48
0.00125,0.0038333333333333331,4500,25
0.00125,0.0041666666666666666,1620,9
0.00125,0.0044999999999999997,180,1
0.00125,0.0048333333333333336,360,2
0.00125,0.0051666666666666666,180,1
0.00125,0.0054999999999999997,0,0
0.00125,0.0058333333333333327,0,0
0.00125,0.0061666666666666667,0,0
0.00125,0.0064999999999999997,0,0
0.00125,0.0068333333333333328,0,0
0.00125,0.0071666666666666667,0,0
0.00125,0.0074999999999999997,0,0
0.00125,0.0078333333333333328,0,0
0.00125,0.0081666666666666658,0,0
0.00125,0.0084999999999999989,0,0
0.00125,0.0088333333333333337,0,0
0.00125,0.0091666666666666667,0,0
0.00125,0.0094999999999999998,0,0
0.00125,0.0098333333333333328,0,0
0.00125,0.010166666666666666,0,0
0.00125,0.010499999999999999,0,0
0.00125,0.010833333333333334,0,0
0.00125,0.011166666666666667,0,0
0.00125,0.0115,0,0
0.00125,0.011833333333333333,0,0
0.00125,0.012166666666666666,0,0
0.00125,0.012499999999999999,0,0
0.00125,0.012833333333333334,0,0
0.00125,0.013166666666666667,0,0
0.00125,0.0135,0,0
0.00125,0.013833333333333333,0,0
0.00125,0.014166666666666666,0,0
0.00125,0.014499999999999999,0,0
0.00125,0.014833333333333332,0,0
0.00125,0.015166666666666667,0,0
0.00125,0.0155,0,0
0.00125,0.015833333333333331,0,0
0.00125,0.016166666666666666,0,0
0.00125,0.016500000000000001,0,0
0.00125,0.016833333333333332,0,0
0.00125,0.017166666666666667,0,0
0.00125,0.017499999999999998,0,0
0.00125,0.017833333333333333,0,0
0.00125,0.018166666666666668,0,0
0.00125,0.018499999999999999,0,0
0.00125,0.018833333333333334,0,0
0.00125,0.019166666666666665,0,0
0.00125,0.0195,0,0
0.00125,0.019833333333333331,0,0
0.0014166666666666666,0.00016666666666666666,9720,54
0.0014166666666666666,0.00050000000000000001,29160,162
0.0014166666666666666,0.00083333333333333328,43200,240
0.0014166666666666666,0.0011666666666666665,52200,290
0.0014166666666666666,0.0015,57960,322
0.0014166666666666666,0.0018333333333333333,53460,297
0.0014166666666666666,0.0021666666666666666,45180,251
0.0014166666666666666,0.0025000000000000001,29880,166
0.0014166666666666666,0.0028333333333333331,19440,108
0.0014166666666666666,0.0031666666666666666,11520,64
0.0014166666666666666,0.0035000000000000001,6660,37
0.0014166666666666666,0.0038333333333333331,2880,16
0.0014166666666666666,0.0041666666666666666,1980,11
0.0014166666666666666,0.0044999999999999997,900,5
0.0014166666666666666,0.0048333333333333336,360,2
0.0014166666666666666,0.0051666666666666666,180,1
0.0014166666666666666,0.0054999999999999997,0,0
0.0014166666666666666,0.0058333333333333327,0,0
