z,delta_x
0.68388137,0.00023255195198743084
0.68650392,0.00027038520267613775
0.68912338,0.0003009124675324437
0.69173975,0.00032413374655645977
0.69435301,0.0003400376741440614
0.69696315,0.0003486385674930925
0.69957015,0.00034991506099960046
0.70217402,0.00034390283746552064
0.70477473,0.0003305748484848381
0.70737227,0.0003099254112554073
0.70996663,0.0002819788429752057
0.7125578,0.00024671946084217633
0.71514577,0.00020415158205430717
0.71773053,0.00015426952380948045
0.72031206,9.708192050372766e-05
0.72289035,3.258308933490328e-05
0.7254654,4.76327727364223e-05
0.72803718,0.00011212636015320299
0.73060569,0.00016911908247627117
0.73317092,0.00021863469852789752
0.73573286,0.0002606569671304848
0.73829149,0.00029518340592862846
0.7408468,0.0003222177737447207
0.74339878,0.0003417638294010983
0.74594743,0.00035382157289776117
0.74849271,0.00035837603952407204
0.75103464,0.00035544971163542494
0.75357319,0.0003450338656987295
0.75610836,0.0003271285017140968
0.75864012,0.00030172489614843645
0.76116848,0.0002688292901795175
0.76369342,0.0002284492014519024
0.76621492,0.0001805721476104416
0.76873299,0.00012521436983262135
0.77124759,6.235090340797611e-05
0.77375874,7.311545473426273e-06
0.7762664,7.772543401701748e-05
0.77877058,0.00014046164698575114
0.78127125,0.000195489687176309
0.78376842,0.00024282638698988612
0.78626206,0.00028246124922315374
0.78875218,0.0003144111062772237
0.79123874,0.0003386586285478166
0.79372175,0.00035521064843591077
0.7962012,0.00036407033354057816
0.79867706,0.0003652171866584397
0.80114934,0.00035867804019062977
0.80361801,0.00034444239693393053
0.80608308,0.0003225070892893811
0.80854452,0.0002928816200538642
0.81100233,0.00025555598922727407
0.8134565,0.00021053336440857162
0.81590701,0.00015781008079546188
0.81835385,9.739930598717805e-05
0.82079702,2.929103998339233e-05
0.82323649,4.496199743914131e-05
0.82567227,0.00011342110968842745
0.82810434,0.0001739539521979916
0.83053268,0.00022654561246265859
0.8329573,0.00027123354673491695
0.83537817,0.0003079753862569312
0.83779528,0.00033679367477595923
0.84020864,0.0003576958685445608
